Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0046977	TAP binding	 	1.796E-5	8.117E-3	7.831E-3	5.240E-2	3	8	HLA-A,HLA-B,HLA-F
GO: Molecular Function	GO:0042605	peptide antigen binding	 	3.465E-5	1.566E-2	7.831E-3	5.240E-2	4	27	HLA-A,HLA-B,HLA-DPB1,HLA-F
GO: Biological Process	GO:0002486	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway, TAP-independent	 	1.756E-5	5.521E-2	2.747E-2	2.370E-1	3	8	HLA-A,HLA-B,HLA-F
GO: Biological Process	GO:0002480	antigen processing and presentation of exogenous peptide antigen via MHC class I, TAP-independent	 	2.621E-5	8.240E-2	2.747E-2	2.370E-1	3	9	HLA-A,HLA-B,HLA-F
GO: Biological Process	GO:0002484	antigen processing and presentation of endogenous peptide antigen via MHC class I via ER pathway	 	2.621E-5	8.240E-2	2.747E-2	2.370E-1	3	9	HLA-A,HLA-B,HLA-F
GO: Cellular Component	GO:0042611	MHC protein complex	 	2.584E-5	1.013E-2	3.961E-3	2.595E-2	4	26	HLA-A,HLA-B,HLA-DPB1,HLA-F
GO: Cellular Component	GO:0042612	MHC class I protein complex	 	3.429E-5	1.344E-2	3.961E-3	2.595E-2	3	10	HLA-A,HLA-B,HLA-F
GO: Cellular Component	GO:0098553	lumenal side of endoplasmic reticulum membrane	 	4.042E-5	1.585E-2	3.961E-3	2.595E-2	4	29	HLA-A,HLA-B,HLA-DPB1,HLA-F
GO: Cellular Component	GO:0071556	integral component of lumenal side of endoplasmic reticulum membrane	 	4.042E-5	1.585E-2	3.961E-3	2.595E-2	4	29	HLA-A,HLA-B,HLA-DPB1,HLA-F
GO: Cellular Component	GO:0098576	lumenal side of membrane	 	9.668E-5	3.790E-2	7.580E-3	4.964E-2	4	36	HLA-A,HLA-B,HLA-DPB1,HLA-F
GO: Cellular Component	GO:0012507	ER to Golgi transport vesicle membrane	 	7.526E-4	2.950E-1	4.917E-2	3.221E-1	4	61	HLA-A,HLA-B,HLA-DPB1,HLA-F
Pathway	83124	Graft-versus-host disease	BioSystems: KEGG	6.641E-6	7.066E-3	3.295E-3	2.487E-2	5	38	HLA-A,HLA-B,HLA-DPB1,HLA-F,IL1B
Pathway	M13519	Graft-versus-host disease	MSigDB C2 BIOCARTA (v7.3)	6.641E-6	7.066E-3	3.295E-3	2.487E-2	5	38	HLA-A,HLA-B,HLA-DPB1,HLA-F,IL1B
Pathway	M12617	Type I diabetes mellitus	MSigDB C2 BIOCARTA (v7.3)	1.239E-5	1.318E-2	3.295E-3	2.487E-2	5	43	HLA-A,HLA-B,HLA-DPB1,HLA-F,IL1B
Pathway	83095	Type I diabetes mellitus	BioSystems: KEGG	1.239E-5	1.318E-2	3.295E-3	2.487E-2	5	43	HLA-A,HLA-B,HLA-DPB1,HLA-F,IL1B
Pathway	1270249	Crosslinking of collagen fibrils	BioSystems: REACTOME	2.796E-5	2.975E-2	5.950E-3	4.491E-2	3	9	LOXL2,TLL1,PCOLCE
Pathway	1270245	Collagen formation	BioSystems: REACTOME	3.862E-5	4.109E-2	6.849E-3	5.169E-2	6	89	COL8A2,LAMA3,LOXL2,TLL1,PCOLCE2,PCOLCE
Pathway	1270247	Assembly of collagen fibrils and other multimeric structures	BioSystems: REACTOME	4.984E-5	5.303E-2	7.575E-3	5.717E-2	5	57	COL8A2,LAMA3,LOXL2,TLL1,PCOLCE
Pathway	1269198	Endosomal/Vacuolar pathway	BioSystems: REACTOME	7.211E-5	7.673E-2	9.591E-3	7.239E-2	3	12	HLA-A,HLA-B,HLA-F
