"hgnc_symbol","ensembl_gene_id","chromosome_name","start_position","end_position","entrezgene_id"
"FGR","ENSG00000000938","1",27612064,27635185,2268
"STPG1","ENSG00000001460","1",24356999,24416934,90529
"NIPAL3","ENSG00000001461","1",24415802,24472976,57185
"AK2","ENSG00000004455","1",33007940,33080996,204
"KDM1A","ENSG00000004487","1",23019443,23083689,23028
"ST7L","ENSG00000007341","1",112523514,112620825,54879
"DNAJC11","ENSG00000007923","1",6634168,6701924,55735
"CDK11A","ENSG00000008128","1",1702379,1724357,728642
"NADK","ENSG00000008130","1",1751232,1780457,65220
"CSDE1","ENSG00000009307","1",114716913,114758676,7812
"MASP2","ENSG00000009724","1",11026523,11047239,10747
"FAM76A","ENSG00000009780","1",27725961,27763116,199870
"SCMH1","ENSG00000010803","1",41027200,41242154,22955
"ELOA","ENSG00000011007","1",23743155,23762059,6924
"LYPLA2","ENSG00000011009","1",23791145,23795539,11313
"CLCN6","ENSG00000011021","1",11806096,11848079,1185
"MTMR11","ENSG00000014914","1",149928651,149936879,10903
"CLCA4","ENSG00000016602","1",86547078,86580754,22802
"NCDN","ENSG00000020129","1",35557473,35567274,23154
"PLEKHO1","ENSG00000023902","1",150149183,150164720,51177
"GCLM","ENSG00000023909","1",93885199,93909456,2730
"KPNA6","ENSG00000025800","1",32108056,32176563,23633
"TNFRSF1B","ENSG00000028137","1",12166991,12209228,7133
"SARS1","ENSG00000031698","1",109213918,109238182,6301
"LRRC7","ENSG00000033122","1",69567922,70151945,57554
"ZZZ3","ENSG00000036549","1",77562416,77683419,26009
"FBXO42","ENSG00000037637","1",16246840,16352480,54455
"SLC66A1","ENSG00000040487","1",19312326,19329300,54896
"THAP3","ENSG00000041988","1",6624866,6635586,90326
"TRIT1","ENSG00000043514","1",39838110,39883511,54802
"VPS13D","ENSG00000048707","1",12230030,12512047,55187
"COL9A2","ENSG00000049089","1",40300489,40317813,1298
"H6PD","ENSG00000049239","1",9234774,9271337,9563
"VAMP3","ENSG00000049245","1",7771296,7781432,9341
"PER3","ENSG00000049246","1",7784320,7845177,8863
"SIKE1","ENSG00000052723","1",114769479,114780685,80143
"AKR7A2","ENSG00000053371","1",19303965,19312144,8574
"MRTO4","ENSG00000053372","1",19251805,19260128,51154
"TRAPPC3","ENSG00000054116","1",36136570,36156053,27095
"THRAP3","ENSG00000054118","1",36224432,36305357,9967
"KIF1B","ENSG00000054523","1",10210570,10381603,23095
"SZRD1","ENSG00000055070","1",16352575,16398145,26099
"PITHD1","ENSG00000057757","1",23778418,23788232,57095
"CROCC","ENSG00000058453","1",16740273,16972964,9696
"YIPF1","ENSG00000058799","1",53851719,53889798,54432
"NDC1","ENSG00000058804","1",53765478,53838463,55706
"PIGV","ENSG00000060642","1",26787054,26800659,55650
"PTPRU","ENSG00000060656","1",29236516,29326813,10076
"SNRNP40","ENSG00000060688","1",31259568,31296788,9410
"COL11A1","ENSG00000060718","1",102876467,103108872,1301
"DDX20","ENSG00000064703","1",111754832,111775602,11218
"GNAI3","ENSG00000065135","1",109548615,109600195,2773
"WDR3","ENSG00000065183","1",117929720,117966543,10885
"PKN2","ENSG00000065243","1",88684222,88836255,5586
"SPEN","ENSG00000065526","1",15836095,15940456,23013
"YBX1","ENSG00000065978","1",42682418,42703805,4904
"TIE1","ENSG00000066056","1",43300982,43323108,7075
"KDM4A","ENSG00000066135","1",43650149,43705518,9682
"NFYC","ENSG00000066136","1",40691648,40771603,4802
"ZMYND12","ENSG00000066185","1",42430329,42456253,84217
