Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0005201	extracellular matrix structural constituent	 	1.808E-8	1.999E-5	1.999E-5	1.517E-4	24	190	THSD4,MATN2,CHI3L1,SLIT2,MFGE8,MGP,AEBP1,COL5A1,COL5A2,NID2,COL10A1,COL11A1,TNC,COL27A1,RELN,PXDN,NPNT,LAMA2,LAMA3,LAMB1,TECTA,TGFBI,VWA5A,PCOLCE2
GO: Molecular Function	GO:0005509	calcium ion binding	 	5.091E-8	5.631E-5	2.444E-5	1.854E-4	56	786	PCP4,MATN2,RYR3,EHD2,SLIT2,MFGE8,CPNE6,MGP,PCDH19,PLA2G5,PCDH10,UNC13B,NID2,CIB1,EFCAB6,WFS1,PCDH11Y,SYT10,EGFEM1P,PLCD3,SCUBE1,GLCE,PLCH1,CAPN12,GALNT3,SWAP70,FSTL5,CPLX2,FSTL4,VWDE,PCDH17,NELL1,CNTNAP5,SULF1,PCDH11X,C1R,C1S,NPNT,CALB2,SYT6,NUCB2,PCDHB4,PKD2L1,GRM4,GRM7,CRB1,THBD,CCBE1,TLL1,LPL,UNC13C,CDH6,PCDH8,CDH11,CDH12,CDH13
GO: Molecular Function	GO:0005102	signaling receptor binding	 	6.628E-8	7.331E-5	2.444E-5	1.854E-4	101	1802	EPHB2,PIK3AP1,RERG,RTP1,RAMP3,HLA-A,HLA-B,HLA-F,LY96,TTR,ADCYAP1,FZD7,FZD8,SLIT2,MFGE8,ZNRF3,SPON2,MICB,AGT,PLA2G5,IL17RA,FLRT1,HSPA1A,VGF,COL5A1,SEMA3C,VASN,WNT3,WNT5A,WNT7A,ICAM3,NXPH1,WNT2B,NLGN1,ACVR1C,SIX3,SLA,CARTPT,GNA14,ISG15,TNFSF13B,PDGFD,CAPRIN2,LRRTM2,WNT10A,HAMP,IL1B,GABRG1,RELN,MYO5B,INHBA,METRNL,ITGA7,GDF10,VWDE,BDKRB2,ARID5A,CNTN6,RGMA,SOCS2,NPFFR2,CCN5,BMP8B,KCNA5,PXDN,MICA,NMB,MARCHF1,IL33,KNG1,VSTM1,NPNT,DRD2,TCF7L2,NUCB2,OSTN,LAMA2,LAMA3,LAMB1,NR4A3,SEMA5A,ADAMTS8,CAV2,GRP,EDN1,LGALS8,GREM2,GSTM5,TGFBI,GAL,SEMA3D,EFNB1,CD8A,CD86,LPL,WFIKKN2,LRPAP1,SNTG2,LGR6,BTNL9,NXPH2
GO: Molecular Function	GO:0005539	glycosaminoglycan binding	 	1.727E-5	1.910E-2	4.383E-3	3.325E-2	23	259	VIT,SLIT2,PLA2G5,COL5A1,COL11A1,VASN,HAMP,SOD3,LXN,NRP1,CCN5,NELL1,SULF1,KNG1,SEMA5A,ADAMTS8,GREM2,LPL,LRPAP1,H1-1,PCOLCE2,LGR6,TNFAIP6
GO: Molecular Function	GO:0005198	structural molecule activity	 	1.981E-5	2.191E-2	4.383E-3	3.325E-2	46	728	THSD4,MATN2,MBP,OBSCN,CHI3L1,MRPS36,SLIT2,MFGE8,MGP,AEBP1,COL5A1,COL5A2,NID2,COL10A1,COL11A1,TNC,COL27A1,OLFM4,TCAP,CSRP2,CRYBG3,PRPH,RELN,SPTB,NEB,PANX3,NEFH,PXDN,VILL,MALL,NPNT,MARVELD1,DSP,KRT19,KRT31,LAMA2,LAMA3,LAMB1,CCDC6,TECTA,RPS27L,TGFBI,VWA5A,SNTG2,PCOLCE2,TNNT2
GO: Molecular Function	GO:0008201	heparin binding	 	6.479E-5	7.166E-2	1.194E-2	9.060E-2	18	191	SLIT2,PLA2G5,COL5A1,COL11A1,VASN,SOD3,LXN,NRP1,CCN5,NELL1,KNG1,ADAMTS8,GREM2,LPL,LRPAP1,H1-1,PCOLCE2,LGR6
GO: Molecular Function	GO:1901681	sulfur compound binding	 	1.391E-4	1.538E-1	2.197E-2	1.667E-1	24	316	SLIT2,MGST1,PLA2G5,COL5A1,COL11A1,VASN,ACBD7,HACL1,SOD3,LXN,NRP1,CCN5,NELL1,KNG1,SEMA5A,ADAMTS8,GREM2,GSTM5,LPL,LRPAP1,H1-1,PCOLCE2,LGR6,PC
GO: Molecular Function	GO:0005179	hormone activity	 	2.314E-4	2.559E-1	2.888E-2	2.191E-1	13	124	TTR,ADCYAP1,AGT,VGF,CARTPT,HAMP,INHBA,METRNL,NMB,OSTN,GRP,EDN1,GAL
GO: Molecular Function	GO:0005516	calmodulin binding	 	2.350E-4	2.600E-1	2.888E-2	2.191E-1	19	230	PCP4,ESRRG,MBP,OBSCN,RYR3,AEBP1,TRPV2,UNC13B,WFS1,MYH15,ATP2B3,MYO5B,MYO7A,MYO5C,CAMK2D,GRM4,GRM7,UNC13C,MARCKS
GO: Molecular Function	GO:0030545	signaling receptor regulator activity	 	3.028E-4	3.349E-1	3.290E-2	2.496E-1	34	545	TTR,ADCYAP1,SLIT2,AGT,VGF,SEMA3C,WNT3,WNT5A,WNT7A,WNT2B,CARTPT,TNFSF13B,PDGFD,WNT10A,HAMP,IL1B,INHBA,METRNL,GDF10,CCN5,BMP8B,PXDN,NMB,IL33,VSTM1,OSTN,SEMA5A,GRP,EDN1,GREM2,GAL,SEMA3D,WFIKKN2,LRPAP1
