Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0015636	short-chain fatty acid transmembrane transporter activity	 	2.054E-5	4.396E-3	4.396E-3	2.614E-2	2	5	SLC22A9,SLC22A10
GO: Molecular Function	GO:0019534	toxin transmembrane transporter activity	 	2.137E-4	4.574E-2	2.216E-2	1.317E-1	2	15	SLC22A9,SLC22A10
GO: Molecular Function	GO:0015347	sodium-independent organic anion transmembrane transporter activity	 	3.106E-4	6.647E-2	2.216E-2	1.317E-1	2	18	SLC22A9,SLC22A10
GO: Molecular Function	GO:0015245	fatty acid transmembrane transporter activity	 	5.573E-4	1.193E-1	2.982E-2	1.773E-1	2	24	SLC22A9,SLC22A10
GO: Molecular Function	GO:0015301	anion:anion antiporter activity	 	1.123E-3	2.402E-1	3.918E-2	2.329E-1	2	34	SLC22A9,SLC22A10
GO: Molecular Function	GO:0140323	solute:anion antiporter activity	 	1.123E-3	2.402E-1	3.918E-2	2.329E-1	2	34	SLC22A9,SLC22A10
GO: Molecular Function	GO:0031764	type 1 galanin receptor binding	 	1.465E-3	3.134E-1	3.918E-2	2.329E-1	1	1	GAL
GO: Molecular Function	GO:0005008	hepatocyte growth factor-activated receptor activity	 	1.465E-3	3.134E-1	3.918E-2	2.329E-1	1	1	MET
GO: Molecular Function	GO:0001530	lipopolysaccharide binding	 	1.711E-3	3.661E-1	4.067E-2	2.418E-1	2	42	CASP5,CD6
GO: Molecular Function	GO:0036458	hepatocyte growth factor binding	 	2.923E-3	6.255E-1	4.468E-2	2.656E-1	1	2	MET
GO: Molecular Function	GO:0008147	structural constituent of bone	 	2.923E-3	6.255E-1	4.468E-2	2.656E-1	1	2	MGP
GO: Molecular Function	GO:0031765	type 2 galanin receptor binding	 	2.923E-3	6.255E-1	4.468E-2	2.656E-1	1	2	GAL
GO: Molecular Function	GO:0031766	type 3 galanin receptor binding	 	2.923E-3	6.255E-1	4.468E-2	2.656E-1	1	2	GAL
GO: Molecular Function	GO:0031763	galanin receptor binding	 	2.923E-3	6.255E-1	4.468E-2	2.656E-1	1	2	GAL
GO: Biological Process	GO:0035382	sterol transmembrane transport	 	1.252E-5	1.687E-2	8.435E-3	6.566E-2	2	4	SLC22A9,SLC22A10
GO: Biological Process	GO:0015913	short-chain fatty acid import	 	1.252E-5	1.687E-2	8.435E-3	6.566E-2	2	4	SLC22A9,SLC22A10
GO: Biological Process	GO:0015912	short-chain fatty acid transport	 	2.084E-5	2.809E-2	9.364E-3	7.289E-2	2	5	SLC22A9,SLC22A10
GO: Biological Process	GO:0002238	response to molecule of fungal origin	 	9.335E-5	1.258E-1	3.146E-2	2.449E-1	2	10	SLC22A9,SLC22A10
Disease	C0206654	Leiomyomatosis	DisGeNET BeFree	3.555E-4	4.753E-1	2.120E-2	1.649E-1	2	18	MET,CD6
Disease	C4324621	Opioid use disorder	DisGeNET BeFree	4.865E-4	6.505E-1	2.120E-2	1.649E-1	2	21	MET,GAL
Disease	C0024232	Lymphatic Metastasis	DisGeNET Curated	7.493E-4	1.000E0	2.120E-2	1.649E-1	2	26	MET,SLC22A10
Disease	C1263846	Attention deficit hyperactivity disorder	DisGeNET BeFree	7.880E-4	1.000E0	2.120E-2	1.649E-1	5	481	GAL,LXN,CDH13,CNTN6,HRH3
Disease	C4082304	Oligodontia	DisGeNET BeFree	8.085E-4	1.000E0	2.120E-2	1.649E-1	2	27	WNT10A,DSP
Disease	C0023470	Myeloid Leukemia	DisGeNET BeFree	1.493E-3	1.000E0	2.120E-2	1.649E-1	4	323	PRRX1,CD6,KRT31,CDH13
Disease	C0007131	Non-Small Cell Lung Carcinoma	DisGeNET Curated	1.521E-3	1.000E0	2.120E-2	1.649E-1	3	147	MET,CDH13,SLC22A10
Disease	C1835492	TOOTH AGENESIS, SELECTIVE, 4 (disorder)	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1835493	Succedaneous Teeth, Agenesis Of	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1857069	SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder)	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C0035353	Congenital retrognathism	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	cv:C1852127	Keratosis palmoplantaris striata II	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	cv:C1843896	Arrhythmogenic right ventricular dysplasia 8	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	615779	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	NR2F2
Disease	cv:C0265242	Agnathia-otocephaly complex	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	cv:C4225318	Epilepsy, familial temporal lobe, 8	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GAL
Disease	C2931899	Papillary renal cell carcinoma, familial	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C0796093	Odontoonychodermal dysplasia	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	150400	TOOTH AGENESIS, SELECTIVE, 4	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1275074	Odonto-onycho-dermal dysplasia	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	cv:C4014393	Cardiomyopathy, dilated, with woolly hair, keratoderma, and tooth agenesis	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C1843292	Skin Fragility-Woolly Hair Syndrome	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	cv:C4310665	Amelogenesis imperfecta, hypomaturation type IIA6	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GPR68
Disease	cv:C0796093	Odonto-onycho-dermal dysplasia	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1836723	Tibia, Bowing of, with Pseudarthrosis and Pectus Excavatum	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C3826590	Chest--Tumors	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	616461	EPILEPSY, FAMILIAL TEMPORAL LOBE, 8	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GAL
Disease	612908	KERATOSIS PALMOPLANTARIS STRIATA II	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C4310665	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GPR68
Disease	C4084709	DEAFNESS, AUTOSOMAL RECESSIVE 97	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C1336078	Papillary renal cell carcinoma, sporadic	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	cv:C1843292	Skin fragility-woolly hair-palmoplantar keratoderma syndrome	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C0948281	Malignant syndrome NOS	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	cv:C4014310	Congenital heart defects, multiple types, 4	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	NR2F2
Disease	C1336839	Type 1 Papillary Renal Cell Carcinoma	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C1336139	Stage IB Non-Small Cell Lung Carcinoma AJCC v7	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C2751315	Atrial Septal Defect 6	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	TLL1
Disease	C1290511	Anodontia of Permanent Dentition	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	607278	OSTEOFIBROUS DYSPLASIA, SUSCEPTIBILITY TO	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	257980	ODONTOONYCHODERMAL DYSPLASIA	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1854063	Cardiomyopathy dilated with Woolly hair and keratoderma	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C0085222	Psoas Abscess	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	CD6
Disease	C0879257	Hereditary Papillary Renal Carcinoma	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C0857828	Infection in the elderly	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	KRT31
Disease	245150	KEUTEL SYNDROME	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MGP
Disease	202650	AGNATHIA-OTOCEPHALY COMPLEX	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	cv:C1855607	Keutel syndrome	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MGP
Disease	C3494426	Mandibular Retrusion	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	C3494425	Mandibular Retroposition	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	C3494424	Maxillary Retrusion	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	C0270771	Syringobulbia	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	CD6
Disease	C3494423	Maxillary Retroposition	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	C3494422	Retrognathia	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	PRRX1
Disease	C1739133	Mucocutaneous herpes simplex	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C0279581	Childhood L2 Acute Lymphoblastic Leukemia	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	CD6
Disease	C0311334	Generalized convulsive epilepsy	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GAL
Disease	C2751315	Atrial Septal Defect 6	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	TLL1
Disease	C4304144	Primary seminoma	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	TDRD1
Disease	C1274743	Hyperhidrosis Palmaris Et Plantaris	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	605676	CARDIOMYOPATHY, DILATED, WITH WOOLLY HAIR AND KERATODERMA	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C4724264	stage IB non-small cell lung cancer	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C1854063	Cardiomyopathy dilated with Woolly hair and keratoderma	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	cv:C4085248	Osteofibrous dysplasia	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	613087	ATRIAL SEPTAL DEFECT 6	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	TLL1
Disease	607655	SKIN FRAGILITY-WOOLLY HAIR SYNDROME	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	617217	AMELOGENESIS IMPERFECTA, HYPOMATURATION TYPE, IIA6	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GPR68
Disease	20090402:Org	Hypertension	GWAS	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	CDH13
Disease	C4744722	Advanced Cervical Carcinoma	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
Disease	C4014310	CONGENITAL HEART DEFECTS, MULTIPLE TYPES, 4	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	NR2F2
Disease	C0848724	circulation problem	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	TLL1
Disease	607450	ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 8	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	609638	EPIDERMOLYSIS BULLOSA, LETHAL ACANTHOLYTIC	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C0543816	Progressive cardiomyopathic lentiginosis syndrome	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	cv:C1854063	Dilated cardiomyopathy with woolly hair and keratoderma	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C1835492	TOOTH AGENESIS, SELECTIVE, 4 (disorder)	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1864826	Epidermolysis bullosa, lethal acantholytic	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	224750	SCHOPF-SCHULZ-PASSARGE SYNDROME	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1857069	SCHOPF-SCHULZ-PASSARGE SYNDROME (disorder)	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	cv:C1835492	Tooth agenesis, selective, 4	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	cv:C2751315	Atrial septal defect 6	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	TLL1
Disease	C1852127	KERATOSIS PALMOPLANTARIS STRIATA II	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C4014393	CARDIOMYOPATHY, DILATED, WITH WOOLLY HAIR, KERATODERMA, AND TOOTH AGENESIS	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	cv:C1857069	Schopf-Schulz-Passarge syndrome	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C1843896	Arrhythmogenic Right Ventricular Dysplasia, Familial, 8	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C0796093	Odontoonychodermal dysplasia	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	WNT10A
Disease	C4225318	EPILEPSY, FAMILIAL TEMPORAL LOBE, 8	DisGeNET Curated	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	GAL
Disease	cv:C1864826	Lethal acantholytic epidermolysis bullosa	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	C0270679	Brain stem herniation	DisGeNET BeFree	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	CD6
Disease	615821	CARDIOMYOPATHY, DILATED, WITH WOOLLY HAIR, KERATODERMA, AND TOOTH AGENESIS	OMIM MedGen	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	DSP
Disease	cv:C4084709	Deafness, autosomal recessive 97	Clinical Variations	1.570E-3	1.000E0	2.120E-2	1.649E-1	1	1	MET
