Category	ID	Name	Source	p-value	q-value Bonferroni	q-value FDR B&H	q-value FDR B&Y	Hit Count in Query List	Hit Count in Genome	Hit in Query List
GO: Molecular Function	GO:0005201	extracellular matrix structural constituent	 	1.471E-7	1.411E-4	1.244E-4	9.263E-4	20	190	THSD4,MATN2,SLIT2,MFGE8,AEBP1,COL5A2,NID2,COL10A1,COL11A1,TNC,COL27A1,RELN,PXDN,NPNT,LAMA2,LAMA3,LAMB1,TGFBI,VWA5A,PCOLCE2
GO: Molecular Function	GO:0005102	signaling receptor binding	 	2.595E-7	2.489E-4	1.244E-4	9.263E-4	83	1802	EPHB2,PIK3AP1,RERG,RAMP3,HLA-A,HLA-B,HLA-F,LY96,ADCYAP1,FZD7,FZD8,SLIT2,MFGE8,ZNRF3,MICB,AGT,PLA2G5,IL17RA,FLRT1,HSPA1A,VGF,SEMA3C,VASN,WNT3,WNT5A,WNT7A,ICAM3,NXPH1,WNT2B,NLGN1,ACVR1C,SLA,CARTPT,GNA14,TNFSF13B,PDGFD,CAPRIN2,LRRTM2,HAMP,GABRG1,RELN,MYO5B,METRNL,ITGA7,VWDE,ARID5A,RGMA,NPFFR2,CCN5,BMP8B,KCNA5,PXDN,MICA,NMB,MARCHF1,IL33,VSTM1,NPNT,TCF7L2,NUCB2,LAMA2,LAMA3,LAMB1,NR4A3,ADAMTS8,CAV2,GRP,EDN1,LGALS8,GREM2,GSTM5,TGFBI,SEMA3D,EFNB1,CD8A,CD86,LPL,WFIKKN2,LRPAP1,SNTG2,LGR6,BTNL9,NXPH2
GO: Molecular Function	GO:0005509	calcium ion binding	 	4.755E-6	4.560E-3	1.520E-3	1.131E-2	43	786	MATN2,RYR3,EHD2,SLIT2,MFGE8,CPNE6,PCDH19,PLA2G5,PCDH10,NID2,CIB1,EFCAB6,WFS1,PCDH11Y,SYT10,PLCD3,GLCE,CAPN12,GALNT3,SWAP70,FSTL5,CPLX2,FSTL4,VWDE,CNTNAP5,SULF1,PCDH11X,C1S,NPNT,CALB2,NUCB2,PKD2L1,GRM4,GRM7,CRB1,THBD,CCBE1,LPL,UNC13C,CDH6,PCDH8,CDH11,CDH12
GO: Molecular Function	GO:0030881	beta-2-microglobulin binding	 	1.969E-4	1.888E-1	4.211E-2	3.135E-1	4	12	HLA-A,HLA-B,HLA-F,MICA
GO: Molecular Function	GO:0005198	structural molecule activity	 	2.196E-4	2.106E-1	4.211E-2	3.135E-1	36	728	THSD4,MATN2,MBP,OBSCN,MRPS36,SLIT2,MFGE8,AEBP1,COL5A2,NID2,COL10A1,COL11A1,TNC,COL27A1,TCAP,CSRP2,CRYBG3,RELN,SPTB,PANX3,NEFH,PXDN,MALL,NPNT,MARVELD1,KRT19,LAMA2,LAMA3,LAMB1,CCDC6,RPS27L,TGFBI,VWA5A,SNTG2,PCOLCE2,TNNT2
GO: Biological Process	GO:0010977	negative regulation of neuron projection development	 	1.176E-9	7.171E-6	7.164E-6	6.658E-5	23	189	EPHB2,HLA-A,HLA-B,MBP,HLA-F,SLIT2,SEMA3C,CIB1,TNC,WNT3,WNT5A,NLGN1,TSKU,ARHGAP4,CTSZ,FSTL4,DCC,RGMA,PTPRG,LGALS1,SEMA3D,CD38,EPHA3
GO: Biological Process	GO:0032989	cellular component morphogenesis	 	2.349E-9	1.433E-5	7.164E-6	6.658E-5	65	1127	EPHB2,RPS6KA5,MATN2,MBP,OBSCN,ETV1,ACTC1,ETV5,TLX2,SPTBN5,SLIT2,CPNE6,TRPV2,FLRT1,ISLR2,SEMA3C,TNC,VASN,WNT3,WNT5A,WNT7A,NLGN1,TCAP,TSKU,ARHGAP4,BCL11B,CSRP2,CAPRIN2,FAM9B,RELN,SPINK2,MYO5B,SPTB,FSTL4,DCC,RGMA,NEFH,BHLHE22,SLC23A2,PID1,NPTX1,NRAP,THSD7A,KRT19,LAMA2,LAMA3,LAMB1,NR4A3,UST,EDN1,CRB1,SEMA3D,EFNB1,NR2E1,TTL,LGR6,PAX6,TNNT2,CDH11,MARCKS,COQ7,EPHA3,TPBG,HDC,EPHA5
GO: Biological Process	GO:0031345	negative regulation of cell projection organization	 	5.339E-9	3.257E-5	1.086E-5	1.009E-4	25	239	EPHB2,HLA-A,HLA-B,MBP,HLA-F,TLX2,SLIT2,SEMA3C,CIB1,TNC,WNT3,WNT5A,NLGN1,TSKU,ARHGAP4,CTSZ,FSTL4,DCC,RGMA,PTPRG,LGALS1,SEMA3D,LIMK2,CD38,EPHA3
GO: Biological Process	GO:0007423	sensory organ development	 	8.463E-9	5.162E-5	1.290E-5	1.199E-4	63	1112	EPHB2,PCSK5,EYA4,IRX5,CEBPA,CEBPD,HLA-A,HLA-B,ESRRG,HLA-F,OBSCN,CHM,MEIS1,ADCYAP1,TLX2,FZD7,SPTBN5,FZD8,TYRP1,CLIC5,HSPA1A,FOXF2,COL5A2,NID2,COL11A1,WNT5A,WNT7A,WNT2B,ITGA8,MAB21L2,TCAP,TSKU,BCL11B,FRZB,CST3,CST5,MYH15,CRYBG3,PALS2,ATP2B3,SOX1,FJX1,VWDE,AFAP1L2,ARL6IP1,SULF1,BHLHE22,DIO3,DLX1,DLX2,LAMB1,NR4A3,EDN1,CRB1,ZNF503,LIMK2,SH3PXD2B,EFNB1,NR2E1,PAX6,CDH6,CDH11,MARCKS
GO: Biological Process	GO:0030198	extracellular matrix organization	 	2.096E-8	1.278E-4	2.200E-5	2.045E-4	35	458	THSD4,ADAMTS19,VIT,AEBP1,AGT,ANTXR1,PLOD2,FOXF2,COL5A2,NID2,COL10A1,COL11A1,ADAMTS2,TNC,COL27A1,ICAM3,ITGA8,CST3,CST5,ADAM19,ITGA7,OLFML2A,PXDN,ADAMTS9,SULF1,NPNT,LAMA2,LAMA3,LAMB1,ADAMTS8,CAV2,TGFBI,THBD,SH3PXD2B,NR2E1
